t,mission_id,point_idx,x,y
16.0,16,6,0.0,1.0
16.0,16,7,1.0,0.0
17.0,17,0,3.0,0.0
17.0,17,1,5.0,1.0
17.0,17,2,5.0,4.0
17.0,17,3,3.0,5.0
17.0,17,4,1.0,5.0
17.0,17,5,0.0,4.0
17.0,17,6,0.0,1.0
17.0,17,7,1.0,0.0
18.0,18,0,3.0,0.0
18.0,18,1,5.0,1.0
18.0,18,2,5.0,4.0
18.0,18,3,3.0,5.0
18.0,18,4,1.0,5.0
18.0,18,5,0.0,4.0
18.0,18,6,0.0,1.0
18.0,18,7,1.0,0.0
19.0,19,0,3.0,0.0
19.0,19,1,5.0,1.0
19.0,19,2,5.0,4.0
19.0,19,3,3.0,5.0
19.0,19,4,1.0,5.0
19.0,19,5,0.0,4.0
19.0,19,6,0.0,1.0
19.0,19,7,1.0,0.0
20.0,20,0,3.0,0.0
20.0,20,1,5.0,1.0
20.0,20,2,5.0,4.0
20.0,20,3,3.0,5.0
20.0,20,4,1.0,5.0
20.0,20,5,0.0,4.0
20.0,20,6,0.0,1.0
20.0,20,7,1.0,0.0
21.0,21,0,3.0,0.0
21.0,21,1,5.0,1.0
21.0,21,2,5.0,4.0
21.0,21,3,3.0,5.0
21.0,21,4,1.0,5.0
21.0,21,5,0.0,4.0
21.0,21,6,0.0,1.0
21.0,21,7,1.0,0.0
22.0,22,0,3.0,0.0
22.0,22,1,5.0,1.0
22.0,22,2,5.0,4.0
22.0,22,3,3.0,5.0
22.0,22,4,1.0,5.0
22.0,22,5,0.0,4.0
22.0,22,6,0.0,1.0
22.0,22,7,1.0,0.0
23.0,23,0,3.0,0.0
23.0,23,1,5.0,1.0
23.0,23,2,5.0,4.0
23.0,23,3,3.0,5.0
23.0,23,4,1.0,5.0
23.0,23,5,0.0,4.0
23.0,23,6,0.0,1.0
23.0,23,7,1.0,0.0
24.0,24,0,3.0,0.0
24.0,24,1,5.0,1.0
24.0,24,2,5.0,4.0
24.0,24,3,3.0,5.0
24.0,24,4,1.0,5.0
24.0,24,5,0.0,4.0
24.0,24,6,0.0,1.0
24.0,24,7,1.0,0.0
25.0,25,0,3.0,0.0
25.0,25,1,5.0,1.0
25.0,25,2,5.0,4.0
25.0,25,3,3.0,5.0
25.0,25,4,1.0,5.0
25.0,25,5,0.0,4.0
25.0,25,6,0.0,1.0
25.0,25,7,1.0,0.0
26.0,26,0,3.0,0.0
26.0,26,1,5.0,1.0
26.0,26,2,5.0,4.0
26.0,26,3,3.0,5.0
26.0,26,4,1.0,5.0
26.0,26,5,0.0,4.0
26.0,26,6,0.0,1.0
26.0,26,7,1.0,0.0
27.0,27,0,3.0,0.0
27.0,27,1,5.0,1.0
27.0,27,2,5.0,4.0
27.0,27,3,3.0,5.0
27.0,27,4,1.0,5.0
27.0,27,5,0.0,4.0
27.0,27,6,0.0,1.0
27.0,27,7,1.0,0.0
28.0,28,0,3.0,0.0
28.0,28,1,5.0,1.0
28.0,28,2,5.0,4.0
28.0,28,3,3.0,5.0
28.0,28,4,1.0,5.0
28.0,28,5,0.0,4.0
28.0,28,6,0.0,1.0
28.0,28,7,1.0,0.0
29.0,29,0,3.0,0.0
29.0,29,1,5.0,1.0
29.0,29,2,5.0,4.0
29.0,29,3,3.0,5.0
29.0,29,4,1.0,5.0
29.0,29,5,0.0,4.0
29.0,29,6,0.0,1.0
29.0,29,7,1.0,0.0
30.0,30,0,3.0,0.0
30.0,30,1,5.0,1.0
30.0,30,2,5.0,4.0
30.0,30,3,3.0,5.0
30.0,30,4,1.0,5.0
30.0,30,5,0.0,4.0
30.0,30,6,0.0,1.0
30.0,30,7,1.0,0.0
31.0,31,0,3.0,0.0
31.0,31,1,5.0,1.0
31.0,31,2,5.0,4.0
31.0,31,3,3.0,5.0
31.0,31,4,1.0,5.0
31.0,31,5,0.0,4.0
31.0,31,6,0.0,1.0
31.0,31,7,1.0,0.0
32.0,32,0,3.0,0.0
32.0,32,1,5.0,1.0
32.0,32,2,5.0,4.0
32.0,32,3,3.0,5.0
32.0,32,4,1.0,5.0
32.0,32,5,0.0,4.0
32.0,32,6,0.0,1.0
32.0,32,7,1.0,0.0
33.0,33,0,3.0,0.0
33.0,33,1,5.0,1.0
33.0,33,2,5.0,4.0
33.0,33,3,3.0,5.0
33.0,33,4,1.0,5.0
33.0,33,5,0.0,4.0
33.0,33,6,0.0,1.0
33.0,33,7,1.0,0.0
34.0,34,0,3.0,0.0
34.0,34,1,5.0,1.0
34.0,34,2,5.0,4.0
34.0,34,3,3.0,5.0
34.0,34,4,1.0,5.0
34.0,34,5,0.0,4.0
34.0,34,6,0.0,1.0
34.0,34,7,1.0,0.0
35.0,35,0,3.0,0.0
35.0,35,1,5.0,1.0
35.0,35,2,5.0,4.0
35.0,35,3,3.0,5.0
35.0,35,4,1.0,5.0
35.0,35,5,0.0,4.0
35.0,35,6,0.0,1.0
35.0,35,7,1.0,0.0
36.0,36,0,3.0,0.0
36.0,36,1,5.0,1.0
36.0,36,2,5.0,4.0
36.0,36,3,3.0,5.0
36.0,36,4,1.0,5.0
36.0,36,5,0.0,4.0
36.0,36,6,0.0,1.0
36.0,36,7,1.0,0.0
37.0,37,0,3.0,0.0
37.0,37,1,5.0,1.0
37.0,37,2,5.0,4.0
37.0,37,3,3.0,5.0
37.0,37,4,1.0,5.0
37.0,37,5,0.0,4.0
37.0,37,6,0.0,1.0
37.0,37,7,1.0,0.0
38.0,38,0,3.0,0.0
38.0,38,1,5.0,1.0
38.0,38,2,5.0,4.0
38.0,38,3,3.0,5.0
38.0,38,4,1.0,5.0
38.0,38,5,0.0,4.0
38.0,38,6,0.0,1.0
38.0,38,7,1.0,0.0
39.0,39,0,3.0,0.0
39.0,39,1,5.0,1.0
39.0,39,2,5.0,4.0
39.0,39,3,3.0,5.0
39.0,39,4,1.0,5.0
39.0,39,5,0.0,4.0
39.0,39,6,0.0,1.0
39.0,39,7,1.0,0.0
40.0,40,0,3.0,0.0
40.0,40,1,5.0,1.0
40.0,40,2,5.0,4.0
40.0,40,3,3.0,5.0
40.0,40,4,1.0,5.0
40.0,40,5,0.0,4.0
40.0,40,6,0.0,1.0
40.0,40,7,1.0,0.0
41.0,41,0,3.0,0.0
41.0,41,1,5.0,1.0
41.0,41,2,5.0,4.0
41.0,41,3,3.0,5.0
41.0,41,4,1.0,5.0
41.0,41,5,0.0,4.0
41.0,41,6,0.0,1.0
41.0,41,7,1.0,0.0
42.0,42,0,3.0,0.0
42.0,42,1,5.0,1.0
42.0,42,2,5.0,4.0
42.0,42,3,3.0,5.0
42.0,42,4,1.0,5.0
42.0,42,5,0.0,4.0
42.0,42,6,0.0,1.0
42.0,42,7,1.0,0.0
43.0,43,0,3.0,0.0
43.0,43,1,5.0,1.0
43.0,43,2,5.0,4.0
43.0,43,3,3.0,5.0
43.0,43,4,1.0,5.0
43.0,43,5,0.0,4.0
43.0,43,6,0.0,1.0
43.0,43,7,1.0,0.0
44.0,44,0,3.0,0.0
44.0,44,1,5.0,1.0
44.0,44,2,5.0,4.0
44.0,44,3,3.0,5.0
44.0,44,4,1.0,5.0
44.0,44,5,0.0,4.0
44.0,44,6,0.0,1.0
44.0,44,7,1.0,0.0
45.0,45,0,3.0,0.0
45.0,45,1,5.0,1.0
45.0,45,2,5.0,4.0
45.0,45,3,3.0,5.0
45.0,45,4,1.0,5.0
45.0,45,5,0.0,4.0
45.0,45,6,0.0,1.0
45.0,45,7,1.0,0.0
46.0,46,0,3.0,0.0
46.0,46,1,5.0,1.0
46.0,46,2,5.0,4.0
46.0,46,3,3.0,5.0
46.0,46,4,1.0,5.0
46.0,46,5,0.0,4.0
46.0,46,6,0.0,1.0
46.0,46,7,1.0,0.0
47.0,47,0,3.0,0.0
47.0,47,1,5.0,1.0
47.0,47,2,5.0,4.0
47.0,47,3,3.0,5.0
47.0,47,4,1.0,5.0
47.0,47,5,0.0,4.0
47.0,47,6,0.0,1.0
47.0,47,7,1.0,0.0
48.0,48,0,3.0,0.0
48.0,48,1,5.0,1.0
48.0,48,2,5.0,4.0
48.0,48,3,3.0,5.0
48.0,48,4,1.0,5.0
48.0,48,5,0.0,4.0
48.0,48,6,0.0,1.0
48.0,48,7,1.0,0.0
49.0,49,0,3.0,0.0
49.0,49,1,5.0,1.0
49.0,49,2,5.0,4.0
49.0,49,3,3.0,5.0
49.0,49,4,1.0,5.0
49.0,49,5,0.0,4.0
49.0,49,6,0.0,1.0
49.0,49,7,1.0,0.0
50.0,50,0,3.0,0.0
50.0,50,1,5.0,1.0
50.0,50,2,5.0,4.0
50.0,50,3,3.0,5.0
50.0,50,4,1.0,5.0
50.0,50,5,0.0,4.0
50.0,50,6,0.0,1.0
50.0,50,7,1.0,0.0
51.0,51,0,3.0,0.0
51.0,51,1,5.0,1.0
51.0,51,2,5.0,4.0
51.0,51,3,3.0,5.0
51.0,51,4,1.0,5.0
51.0,51,5,0.0,4.0
51.0,51,6,0.0,1.0
51.0,51,7,1.0,0.0
52.0,52,0,3.0,0.0
52.0,52,1,5.0,1.0
52.0,52,2,5.0,4.0
52.0,52,3,3.0,5.0
52.0,52,4,1.0,5.0
52.0,52,5,0.0,4.0
52.0,52,6,0.0,1.0
52.0,52,7,1.0,0.0
53.0,53,0,3.0,0.0
53.0,53,1,5.0,1.0
53.0,53,2,5.0,4.0
53.0,53,3,3.0,5.0
53.0,53,4,1.0,5.0
53.0,53,5,0.0,4.0
53.0,53,6,0.0,1.0
53.0,53,7,1.0,0.0
54.0,54,0,3.0,0.0
54.0,54,1,5.0,1.0
54.0,54,2,5.0,4.0
54.0,54,3,3.0,5.0
54.0,54,4,1.0,5.0
54.0,54,5,0.0,4.0
54.0,54,6,0.0,1.0
54.0,54,7,1.0,0.0
55.0,55,0,3.0,0.0
55.0,55,1,5.0,1.0
55.0,55,2,5.0,4.0
55.0,55,3,3.0,5.0
55.0,55,4,1.0,5.0
55.0,55,5,0.0,4.0
55.0,55,6,0.0,1.0
55.0,55,7,1.0,0.0
56.0,56,0,3.0,0.0
56.0,56,1,5.0,1.0
56.0,56,2,5.0,4.0
56.0,56,3,3.0,5.0
56.0,56,4,1.0,5.0
56.0,56,5,0.0,4.0
56.0,56,6,0.0,1.0
56.0,56,7,1.0,0.0
57.0,57,0,3.0,0.0
57.0,57,1,5.0,1.0
57.0,57,2,5.0,4.0
57.0,57,3,3.0,5.0
57.0,57,4,1.0,5.0
57.0,57,5,0.0,4.0
57.0,57,6,0.0,1.0
57.0,57,7,1.0,0.0
58.0,58,0,3.0,0.0
58.0,58,1,5.0,1.0
58.0,58,2,5.0,4.0
58.0,58,3,3.0,5.0
58.0,58,4,1.0,5.0
58.0,58,5,0.0,4.0
58.0,58,6,0.0,1.0
58.0,58,7,1.0,0.0
59.0,59,0,3.0,0.0
59.0,59,1,5.0,1.0
59.0,59,2,5.0,4.0
59.0,59,3,3.0,5.0
59.0,59,4,1.0,5.0
59.0,59,5,0.0,4.0
59.0,59,6,0.0,1.0
59.0,59,7,1.0,0.0
60.0,60,0,3.0,0.0
60.0,60,1,5.0,1.0
60.0,60,2,5.0,4.0
60.0,60,3,3.0,5.0
60.0,60,4,1.0,5.0
60.0,60,5,0.0,4.0
60.0,60,6,0.0,1.0
60.0,60,7,1.0,0.0
61.0,61,0,3.0,0.0
61.0,61,1,5.0,1.0
61.0,61,2,5.0,4.0
61.0,61,3,3.0,5.0
61.0,61,4,1.0,5.0
61.0,61,5,0.0,4.0
61.0,61,6,0.0,1.0
61.0,61,7,1.0,0.0
62.0,62,0,3.0,0.0
62.0,62,1,5.0,1.0
62.0,62,2,5.0,4.0
62.0,62,3,3.0,5.0
62.0,62,4,1.0,5.0
62.0,62,5,0.0,4.0
62.0,62,6,0.0,1.0
62.0,62,7,1.0,0.0
63.0,63,0,3.0,0.0
63.0,63,1,5.0,1.0
63.0,63,2,5.0,4.0
63.0,63,3,3.0,5.0
63.0,63,4,1.0,5.0
63.0,63,5,0.0,4.0
63.0,63,6,0.0,1.0
63.0,63,7,1.0,0.0
64.0,64,0,3.0,0.0
64.0,64,1,5.0,1.0
64.0,64,2,5.0,4.0
64.0,64,3,3.0,5.0
64.0,64,4,1.0,5.0
64.0,64,5,0.0,4.0
64.0,64,6,0.0,1.0
64.0,64,7,1.0,0.0
65.0,65,0,3.0,0.0
65.0,65,1,5.0,1.0
65.0,65,2,5.0,4.0
65.0,65,3,3.0,5.0
65.0,65,4,1.0,5.0
65.0,65,5,0.0,4.0
65.0,65,6,0.0,1.0
65.0,65,7,1.0,0.0
66.0,66,0,3.0,0.0
66.0,66,1,5.0,1.0
66.0,66,2,5.0,4.0
66.0,66,3,3.0,5.0
66.0,66,4,1.0,5.0
66.0,66,5,0.0,4.0
66.0,66,6,0.0,1.0
66.0,66,7,1.0,0.0
67.0,67,0,3.0,0.0
67.0,67,1,5.0,1.0
67.0,67,2,5.0,4.0
67.0,67,3,3.0,5.0
67.0,67,4,1.0,5.0
67.0,67,5,0.0,4.0
67.0,67,6,0.0,1.0
67.0,67,7,1.0,0.0
68.0,68,0,3.0,0.0
68.0,68,1,5.0,1.0
68.0,68,2,5.0,4.0
68.0,68,3,3.0,5.0
68.0,68,4,1.0,5.0
68.0,68,5,0.0,4.0
68.0,68,6,0.0,1.0
68.0,68,7,1.0,0.0
69.0,69,0,3.0,0.0
69.0,69,1,5.0,1.0
69.0,69,2,5.0,4.0
69.0,69,3,3.0,5.0
69.0,69,4,1.0,5.0
69.0,69,5,0.0,4.0
69.0,69,6,0.0,1.0
69.0,69,7,1.0,0.0
70.0,70,0,3.0,0.0
70.0,70,1,5.0,1.0
70.0,70,2,5.0,4.0
70.0,70,3,3.0,5.0
70.0,70,4,1.0,5.0
70.0,70,5,0.0,4.0
70.0,70,6,0.0,1.0
70.0,70,7,1.0,0.0
71.0,71,0,3.0,0.0
71.0,71,1,5.0,1.0
71.0,71,2,5.0,4.0
71.0,71,3,3.0,5.0
71.0,71,4,1.0,5.0
71.0,71,5,0.0,4.0
71.0,71,6,0.0,1.0
71.0,71,7,1.0,0.0
72.0,72,0,3.0,0.0
72.0,72,1,5.0,1.0
72.0,72,2,5.0,4.0
72.0,72,3,3.0,5.0
72.0,72,4,1.0,5.0
72.0,72,5,0.0,4.0
72.0,72,6,0.0,1.0
72.0,72,7,1.0,0.0
73.0,73,0,3.0,0.0
73.0,73,1,5.0,1.0
73.0,73,2,5.0,4.0
73.0,73,3,3.0,5.0
73.0,73,4,1.0,5.0
73.0,73,5,0.0,4.0
73.0,73,6,0.0,1.0
73.0,73,7,1.0,0.0
74.0,74,0,3.0,0.0
74.0,74,1,5.0,1.0
74.0,74,2,5.0,4.0
74.0,74,3,3.0,5.0
74.0,74,4,1.0,5.0
74.0,74,5,0.0,4.0
74.0,74,6,0.0,1.0
74.0,74,7,1.0,0.0
75.0,75,0,3.0,0.0
75.0,75,1,5.0,1.0
75.0,75,2,5.0,4.0
75.0,75,3,3.0,5.0
75.0,75,4,1.0,5.0
75.0,75,5,0.0,4.0
75.0,75,6,0.0,1.0
75.0,75,7,1.0,0.0
76.0,76,0,3.0,0.0
76.0,76,1,5.0,1.0
76.0,76,2,5.0,4.0
76.0,76,3,3.0,5.0
76.0,76,4,1.0,5.0
76.0,76,5,0.0,4.0
76.0,76,6,0.0,1.0
76.0,76,7,1.0,0.0
77.0,77,0,3.0,0.0
77.0,77,1,5.0,1.0
77.0,77,2,5.0,4.0
77.0,77,3,3.0,5.0
77.0,77,4,1.0,5.0
77.0,77,5,0.0,4.0
77.0,77,6,0.0,1.0
77.0,77,7,1.0,0.0
78.0,78,0,3.0,0.0
78.0,78,1,5.0,1.0
78.0,78,2,5.0,4.0
78.0,78,3,3.0,5.0
78.0,78,4,1.0,5.0
78.0,78,5,0.0,4.0
78.0,78,6,0.0,1.0
78.0,78,7,1.0,0.0
79.0,79,0,3.0,0.0
79.0,79,1,5.0,1.0
79.0,79,2,5.0,4.0
79.0,79,3,3.0,5.0
79.0,79,4,1.0,5.0
79.0,79,5,0.0,4.0
79.0,79,6,0.0,1.0
79.0,79,7,1.0,0.0
80.0,80,0,3.0,0.0
80.0,80,1,5.0,1.0
80.0,80,2,5.0,4.0
80.0,80,3,3.0,5.0
80.0,80,4,1.0,5.0
80.0,80,5,0.0,4.0
80.0,80,6,0.0,1.0
80.0,80,7,1.0,0.0
81.0,81,0,3.0,0.0
81.0,81,1,5.0,1.0
81.0,81,2,5.0,4.0
81.0,81,3,3.0,5.0
81.0,81,4,1.0,5.0
81.0,81,5,0.0,4.0
81.0,81,6,0.0,1.0
81.0,81,7,1.0,0.0
82.0,82,0,3.0,0.0
82.0,82,1,5.0,1.0
82.0,82,2,5.0,4.0
82.0,82,3,3.0,5.0
82.0,82,4,1.0,5.0
82.0,82,5,0.0,4.0
82.0,82,6,0.0,1.0
82.0,82,7,1.0,0.0
83.0,83,0,3.0,0.0
83.0,83,1,5.0,1.0
83.0,83,2,5.0,4.0
83.0,83,3,3.0,5.0
83.0,83,4,1.0,5.0
83.0,83,5,0.0,4.0
83.0,83,6,0.0,1.0
83.0,83,7,1.0,0.0
84.0,84,0,3.0,0.0
84.0,84,1,5.0,1.0
84.0,84,2,5.0,4.0
84.0,84,3,3.0,5.0
84.0,84,4,1.0,5.0
84.0,84,5,0.0,4.0
84.0,84,6,0.0,1.0
84.0,84,7,1.0,0.0
85.0,85,0,3.0,0.0
85.0,85,1,5.0,1.0
85.0,85,2,5.0,4.0
85.0,85,3,3.0,5.0
85.0,85,4,1.0,5.0
85.0,85,5,0.0,4.0
85.0,85,6,0.0,1.0
85.0,85,7,1.0,0.0
86.0,86,0,3.0,0.0
86.0,86,1,5.0,1.0
86.0,86,2,5.0,4.0
86.0,86,3,3.0,5.0
86.0,86,4,1.0,5.0
86.0,86,5,0.0,4.0
86.0,86,6,0.0,1.0
86.0,86,7,1.0,0.0
87.0,87,0,3.0,0.0
87.0,87,1,5.0,1.0
87.0,87,2,5.0,4.0
87.0,87,3,3.0,5.0
87.0,87,4,1.0,5.0
87.0,87,5,0.0,4.0
87.0,87,6,0.0,1.0
87.0,87,7,1.0,0.0
88.0,88,0,3.0,0.0
88.0,88,1,5.0,1.0
88.0,88,2,5.0,4.0
88.0,88,3,3.0,5.0
88.0,88,4,1.0,5.0
88.0,88,5,0.0,4.0
88.0,88,6,0.0,1.0
88.0,88,7,1.0,0.0
89.0,89,0,3.0,0.0
89.0,89,1,5.0,1.0
89.0,89,2,5.0,4.0
89.0,89,3,3.0,5.0
89.0,89,4,1.0,5.0
89.0,89,5,0.0,4.0
89.0,89,6,0.0,1.0
89.0,89,7,1.0,0.0
90.0,90,0,3.0,0.0
90.0,90,1,5.0,1.0
90.0,90,2,5.0,4.0
90.0,90,3,3.0,5.0
90.0,90,4,1.0,5.0
90.0,90,5,0.0,4.0
90.0,90,6,0.0,1.0
90.0,90,7,1.0,0.0
91.0,91,0,3.0,0.0
91.0,91,1,5.0,1.0
91.0,91,2,5.0,4.0
91.0,91,3,3.0,5.0
91.0,91,4,1.0,5.0
91.0,91,5,0.0,4.0
91.0,91,6,0.0,1.0
91.0,91,7,1.0,0.0
92.0,92,0,3.0,0.0
92.0,92,1,5.0,1.0
92.0,92,2,5.0,4.0
92.0,92,3,3.0,5.0
92.0,92,4,1.0,5.0
92.0,92,5,0.0,4.0
92.0,92,6,0.0,1.0
92.0,92,7,1.0,0.0
93.0,93,0,3.0,0.0
93.0,93,1,5.0,1.0
93.0,93,2,5.0,4.0
93.0,93,3,3.0,5.0
93.0,93,4,1.0,5.0
93.0,93,5,0.0,4.0
93.0,93,6,0.0,1.0
93.0,93,7,1.0,0.0
94.0,94,0,3.0,0.0
94.0,94,1,5.0,1.0
94.0,94,2,5.0,4.0
94.0,94,3,3.0,5.0
94.0,94,4,1.0,5.0
94.0,94,5,0.0,4.0
94.0,94,6,0.0,1.0
94.0,94,7,1.0,0.0
95.0,95,0,3.0,0.0
95.0,95,1,5.0,1.0
95.0,95,2,5.0,4.0
95.0,95,3,3.0,5.0
95.0,95,4,1.0,5.0
95.0,95,5,0.0,4.0
95.0,95,6,0.0,1.0
95.0,95,7,1.0,0.0
96.0,96,0,3.0,0.0
96.0,96,1,5.0,1.0
96.0,96,2,5.0,4.0
96.0,96,3,3.0,5.0
96.0,96,4,1.0,5.0
96.0,96,5,0.0,4.0
96.0,96,6,0.0,1.0
96.0,96,7,1.0,0.0
97.0,97,0,3.0,0.0
97.0,97,1,5.0,1.0
97.0,97,2,5.0,4.0
97.0,97,3,3.0,5.0
97.0,97,4,1.0,5.0
97.0,97,5,0.0,4.0
97.0,97,6,0.0,1.0
97.0,97,7,1.0,0.0
98.0,98,0,3.0,0.0
98.0,98,1,5.0,1.0
98.0,98,2,5.0,4.0
98.0,98,3,3.0,5.0
98.0,98,4,1.0,5.0
98.0,98,5,0.0,4.0
98.0,98,6,0.0,1.0
98.0,98,7,1.0,0.0
99.0,99,0,3.0,0.0
99.0,99,1,5.0,1.0
99.0,99,2,5.0,4.0
99.0,99,3,3.0,5.0
99.0,99,4,1.0,5.0
99.0,99,5,0.0,4.0
99.0,99,6,0.0,1.0
99.0,99,7,1.0,0.0
100.0,100,0,3.0,0.0
100.0,100,1,5.0,1.0
100.0,100,2,5.0,4.0
100.0,100,3,3.0,5.0
100.0,100,4,1.0,5.0
100.0,100,5,0.0,4.0
100.0,100,6,0.0,1.0
100.0,100,7,1.0,0.0
101.0,101,0,3.0,0.0
101.0,101,1,5.0,1.0
101.0,101,2,5.0,4.0
101.0,101,3,3.0,5.0
101.0,101,4,1.0,5.0
101.0,101,5,0.0,4.0
101.0,101,6,0.0,1.0
101.0,101,7,1.0,0.0
102.0,102,0,3.0,0.0
102.0,102,1,5.0,1.0
102.0,102,2,5.0,4.0
102.0,102,3,3.0,5.0
102.0,102,4,1.0,5.0
102.0,102,5,0.0,4.0
102.0,102,6,0.0,1.0
102.0,102,7,1.0,0.0
103.0,103,0,3.0,0.0
103.0,103,1,5.0,1.0
103.0,103,2,5.0,4.0
103.0,103,3,3.0,5.0
103.0,103,4,1.0,5.0
103.0,103,5,0.0,4.0
103.0,103,6,0.0,1.0
103.0,103,7,1.0,0.0
104.0,104,0,3.0,0.0
104.0,104,1,5.0,1.0
104.0,104,2,5.0,4.0
104.0,104,3,3.0,5.0
104.0,104,4,1.0,5.0
104.0,104,5,0.0,4.0
104.0,104,6,0.0,1.0
104.0,104,7,1.0,0.0
105.0,105,0,3.0,0.0
105.0,105,1,5.0,1.0
105.0,105,2,5.0,4.0
105.0,105,3,3.0,5.0
105.0,105,4,1.0,5.0
105.0,105,5,0.0,4.0
105.0,105,6,0.0,1.0
105.0,105,7,1.0,0.0
106.0,106,0,3.0,0.0
106.0,106,1,5.0,1.0
106.0,106,2,5.0,4.0
106.0,106,3,3.0,5.0
106.0,106,4,1.0,5.0
106.0,106,5,0.0,4.0
106.0,106,6,0.0,1.0
106.0,106,7,1.0,0.0
107.0,107,0,3.0,0.0
107.0,107,1,5.0,1.0
107.0,107,2,5.0,4.0
107.0,107,3,3.0,5.0
107.0,107,4,1.0,5.0
107.0,107,5,0.0,4.0
107.0,107,6,0.0,1.0
107.0,107,7,1.0,0.0
108.0,108,0,3.0,0.0
108.0,108,1,5.0,1.0
108.0,108,2,5.0,4.0
108.0,108,3,3.0,5.0
108.0,108,4,1.0,5.0
108.0,108,5,0.0,4.0
108.0,108,6,0.0,1.0
108.0,108,7,1.0,0.0
109.0,109,0,3.0,0.0
109.0,109,1,5.0,1.0
109.0,109,2,5.0,4.0
109.0,109,3,3.0,5.0
109.0,109,4,1.0,5.0
109.0,109,5,0.0,4.0
109.0,109,6,0.0,1.0
109.0,109,7,1.0,0.0
110.0,110,0,3.0,0.0
